,Rank,Country,Name,Last name,Full Name,Matches Played,Matches Won,Match Time,Aces,Double Faults,1st Serve Won %,2nd Serve Won %,Points per Match,Break Points Saved %
0,1,USA,Jimmy,Connors,Jimmy Connors,1560,1275,,,,,50.07%,,
1,2,SUI,Roger,Federer,Roger Federer,1520,1245,1:39,11452,2756,77.39%,57.03%,161.45,67.29%
2,3,USA,Ivan,Lendl,Ivan Lendl,1311,1069,1:45,1701,656,75.96%,52.18%,160.91,62.50%
3,4,ARG,Guillermo,Vilas,Guillermo Vilas,1234,943,,,,,,,
4,4,ESP,Rafael,Nadal,Rafael Nadal,1234,1026,1:54,3761,1968,72.17%,57.37%,150.59,66.36%
5,6,ROU,Ilie,Nastase,Ilie Nastase,1224,891,,,,,,,
6,7,SRB,Novak,Djokovic,Novak Djokovic,1175,978,1:51,6225,2611,73.70%,55.43%,158.70,65.45%
7,8,USA,Andre,Agassi,Andre Agassi,1144,870,1:29,4055,2089,72.93%,53.98%,160.19,64.74%
8,9,ESP,David,Ferrer,David Ferrer,1111,734,1:44,2930,2811,,52.52%,155.13,59.90%
9,10,USA,Stan,Smith,Stan Smith,1083,776,,,,,,,
10,11,USA,John,McEnroe,John McEnroe,1079,881,,,,75.48%,50.09%,,62.44%
11,12,SWE,Stefan,Edberg,Stefan Edberg,1075,804,1:32,1405,1630,73.05%,51.79%,164.07,63.77%
12,13,USA,Arthur,Ashe,Arthur Ashe,1041,783,,,,,,,
13,14,USA,Brian,Gottfried,Brian Gottfried,1028,698,,,,,,,
14,15,AUS,John,Alexander,John Alexander,996,570,,,,,,,
15,16,ESP,Manuel,Orantes,Manuel Orantes,995,713,,,,,,,
16,17,ESP,Fernando,Verdasco,Fernando Verdasco,984,554,1:47,5342,3814,70.88%,51.08%,162.01,62.77%
17,17,USA,Pete,Sampras,Pete Sampras,984,762,1:33,8689,2940,80.92%,52.61%,170.77,67.92%
18,19,CZE,Tomas,Berdych,Tomas Berdych,981,640,1:42,7195,2290,76.95%,52.43%,154.60,63.57%
19,20,ESP,Feliciano,Lopez,Feliciano Lopez,976,502,1:42,10076,3302,76.34%,51.92%,164.61,65.54%
20,21,USA,Michael,Chang,Michael Chang,974,662,1:41,3357,1505,71.55%,52.53%,159.48,60.47%
21,22,CRO,Goran,Ivanisevic,Goran Ivanisevic,932,599,1:24,10131,3546,82.45%,50.08%,161.54,66.13%
22,23,GER,Boris,Becker,Boris Becker,927,713,1:41,4362,2014,79.39%,50.17%,173.03,65.71%
23,24,USA,Harold,Solomon,Harold Solomon,919,585,,,,,,,
24,25,NED,Tom,Okker,Tom Okker,917,643,,,,,,,
25,26,RUS,Yevgeny,Kafelnikov,Yevgeny Kafelnikov,915,609,1:31,4711,3413,73.32%,50.58%,161.62,61.07%
26,27,FRA,Fabrice,Santoro,Fabrice Santoro,914,470,1:42,2609,1988,,50.70%,157.01,
